Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks,,Tweet_Number_of_Looks,
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/KalamNewsCentre/status/1718619585837138118,Swami G Reload,https://twitter.com/KalamNewsCentre,10/29/23,"#Israel is providing with proper treatment to the terrorism of #Hamas #HamasTerrorrists,#IsraelPalestineWar #IsraelPalestineConflict#IsraelHamasWar .",,https://twitter.com/KalamNewsCentre/status/1718619585837138118,FALSE,87,95,372,107K,,107K,107000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/frontmonitor/status/1719736501767147548,Frontline MonitorReload,https://twitter.com/frontmonitor,11/1/23,Breaking:Our Mujahideen were able to destroy 4 Israeli vehicles with “Al-Yassin 105” shells and finish off an infantry force stationed inside a building in Beit Hanoun.#حزب_الله #GazaGenoside #CeasefireForGaza #IsraelPalestineConflict #Hamas #Palestine #jabaliya,,https://twitter.com/frontmonitor/status/1719736501767147548,FALSE,11,69,199,20K,,20K,20000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/The_Wee_Doggie/status/1720252367189197024,The Wee DoggieReload,https://twitter.com/The_Wee_Doggie,11/3/23,"Here you go Greta, we fixed it for you. #HowDareYou#IsraelPalestineConflict",,https://twitter.com/The_Wee_Doggie/status/1720252367189197024,FALSE,4,11,34,3K,,3K,3000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/Alissa4TheUSA/status/1721157539784544547,ᗩℓιѕѕα♡,https://twitter.com/Alissa4TheUSA,11/5/23,Did you ever think we would be at a point in history where the youth of our country supported terrorists? #HamasTerrorists #IsraelPalestineConflict,https://pbs.twimg.com/media/F-LHK8HXQAA6Cp-?format=jpg&name=small,https://twitter.com/Alissa4TheUSA/status/1721157539784544547,FALSE,76,154,307,18K,,18K,18000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/Sardarbror/status/1720134236508664241,SardarbrorReload,https://twitter.com/Sardarbror,11/2/23,If your next question is «but do you condemn Hamas» dont even talk to me#BassemYoussef #PiersMorgan #Palestine #IsraelPalestineConflict,,https://twitter.com/Sardarbror/status/1720134236508664241,FALSE,3,50,106,11K,,11K,11000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/inaya_bisma/status/1720607479745159667,inaya bismaReload,https://twitter.com/inaya_bisma,11/4/23,After getting gifts from #Hamas #IDF_TERRORIST  #Israel #IsraelPalestineConflict #SavePalestine,,https://twitter.com/inaya_bisma/status/1720607479745159667,FALSE,13,9,33,8.2K,,8.2K,8200
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/BlackSouthener/status/1719727558218875155,JamalReload,https://twitter.com/BlackSouthener,11/1/23,For those angry at me for burning the Palestinian flag I just wanna say this. #IsraelPalestineConflict,,https://twitter.com/BlackSouthener/status/1719727558218875155,FALSE,25,15,77,6K,,6K,6000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/BrazucaToninho/status/1719089114278957127,Conrad StonebanksReload,https://twitter.com/BrazucaToninho,10/30/23,The peace that Hamas deserves has arrived#Israel #Gaza #FreePalenstine #Israelunderattack #IsraelPalestineConflict #HamasislSIS #HamasTerrorrists #HamasNazis,,https://twitter.com/BrazucaToninho/status/1719089114278957127,FALSE,32,25,152,22K,,22K,22000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/zsna01/status/1718621653314216211,PALASTİNEReload,https://twitter.com/zsna01,10/29/23,I stand with Palestine #FreePalenstine#Gaza_Genocide #غزة_تنتصر #IsraelPalestineConflict,,https://twitter.com/zsna01/status/1718621653314216211,FALSE,5,27,65,6.3K,,6.3K,6300
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/NuraMuh75683531/status/1720163939084849321,Nura MuhammadReload,https://twitter.com/NuraMuh75683531,11/2/23,"Jerusalem beach,tel Aviv Israel   Palestine  conflict updates happening now in Israel  #Palestine #HamasisISIS #CeasefireForGaza #CeaseFirelnGazaNOW #storm #Yemen #IsraelPalestineConflict #غزة_تنتصر",,https://twitter.com/NuraMuh75683531/status/1720163939084849321,FALSE,31,27,69,20K,,20K,20000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/ArnaudCesarV/status/1720808092839887127,Arnaud César ViletteReload,https://twitter.com/ArnaudCesarV,11/4/23,Sans doute plus de 10.000 personnes se sont rendues à Paris pour la manifestation pour un cessez-le-feu à Gaza à l'appel de Urgence Palestine#GazaGenocide #IsraelPalestineConflict,,https://twitter.com/ArnaudCesarV/status/1720808092839887127,FALSE,102,1.3K,2.8K,1.2M,,1.2M,1200000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/Suren_Para/status/1718215007002132703,Hindutva WarriorReload,https://twitter.com/Suren_Para,10/28/23,#Pakistani Woman in Middlesbrough  Just walking into shops and picking up what ever she wants without paying. This is typical behavior of all the #JIHADI sewers across the globe. The world must unite and smash these #terrorists#Istandwithisreal #IsraelPalestineConflict #Israeli,,https://twitter.com/Suren_Para/status/1718215007002132703,FALSE,15,12,44,13K,,13K,13000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/Bitcoin_21_m/status/1719744442238677045,BitcoinReload,https://twitter.com/Bitcoin_21_m,11/1/23,Spare me the crocodile tears#Holocaust #IsraelPalestineConflict,,https://twitter.com/Bitcoin_21_m/status/1719744442238677045,FALSE,25,141,376,19K,,19K,19000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/daves1331/status/1719780610107986062,JamesBonkFella!Reload,https://twitter.com/daves1331,11/1/23,IDF women have more balls than some men. i  this girlpower  #IDF #IsraelPalestineConflict #Israel,,https://twitter.com/daves1331/status/1719780610107986062,FALSE,11,10,98,14K,,14K,14000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/frontmonitor/status/1719733004824891773,Frontline MonitorReload,https://twitter.com/frontmonitor,11/1/23,Israeli Ministers are crying like babies after almost 400 Israeli Soldiers die in Gaza.#NorthKorea #حزب_الله #GazaGenoside #CeasefireForGaza #IsraelPalestineConflict #Hamas #Palestine #jabaliya,,https://twitter.com/frontmonitor/status/1719733004824891773,FALSE,29,46,124,25K,,25K,25000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/RadianceOfQuran/status/1720278990026621045,Radiance Of QuranReloadCensored Men,https://twitter.com/RadianceOfQuran,11/3/23,Man is asked why he supports Palestine he explains #IsraelPalestineConflict #IsraelPalestineWar #JewishLivesMatter #PalestinianLivesMatter #WhiteLivesMatter #BlackLivesMatter #AllLivesMatter #NoOilForlsrael #NoOilForWar,,https://twitter.com/RadianceOfQuran/status/1720278990026621045,FALSE,7,16,26,3.7K,,3.7K,3700
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/RadianceOfQuran/status/1719440790836195433,Radiance Of QuranReloadCensored Men,https://twitter.com/RadianceOfQuran,10/31/23,A Protest From 2021 - comments #IsraelPalestineWar #IsraelPalestineConflict #JewishLivesMatter #AllLivesMatters #PalestinianLivesMatter #BlackLivesMatter #whitelivesmatter #NoOilForWar,,https://twitter.com/RadianceOfQuran/status/1719440790836195433,FALSE,7,11,14,9.1K,,9.1K,9100
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/BiplabLearner/status/1719631246660337999,Biplab Bharatiya Reload,https://twitter.com/BiplabLearner,11/1/23,#HamasTerrorrists after attack on #Israel #Hamas_is_ISIS #IsraelPalestineConflict  #PKMKBForever #IndiaStandsWithIsrael #WeStandWithIsrael#HamasISIS,,https://twitter.com/BiplabLearner/status/1719631246660337999,FALSE,22,41,183,41K,,41K,41000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/BhavikaKapoor5/status/1720989969156813046,Bhavika Kapoor Reload,https://twitter.com/BhavikaKapoor5,11/5/23,#IsraelPalestineConflictBerlin in support of Palestine,,https://twitter.com/BhavikaKapoor5/status/1720989969156813046,FALSE,14,194,484,11K,,11K,11000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/Palestine7868/status/1720343418256400470,Salman khan Reload,https://twitter.com/Palestine7868,11/3/23,A video documenting the moment a house was bombed by the Israeli occupation in Nablus.#IsraelPalestineConflict #GazaGenocide #Gazabombing #Repost #repostober,,https://twitter.com/Palestine7868/status/1720343418256400470,FALSE,1,11,18,2.6K,,2.6K,2600
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/itskhatt/status/1721126698995888598,Mohamed KhattabReload,https://twitter.com/itskhatt,11/5/23,#عاجل طفلة مصرية من مترو القاهرة تفعل ما عجز عنه الكبار وسط ذهول الركاب..#مصر #أحمد_مكي #بيومي_فؤاد #Egypt #الجيش_المصري #احمد_حجازي #ولعت #اضراب_عام #أبوعبيدة #ابو_عبيدة #القسام #Hamas #AlQassam #IsraelPalestineConflict #Israeli #TelAviv #Palestine #PalestineHolocaust…,,https://twitter.com/itskhatt/status/1721126698995888598,FALSE,91,697,2.2K,204K,,204K,204000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/The_Wee_Doggie/status/1720246829168685417,The Wee DoggieReload,https://twitter.com/The_Wee_Doggie,11/3/23,An Israeli family get to safety just in time before a Hamas rocket hits their home...#IsraelPalestineConflict,,https://twitter.com/The_Wee_Doggie/status/1720246829168685417,FALSE,3,11,30,3.8K,,3.8K,3800
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/Sardarbror/status/1720367657415766175,SardarbrorReload,https://twitter.com/Sardarbror,11/3/23,"#Israel is not interested in a two state solution, and its obvious what the israeli plan is#BassemYoussef #PiersMorgan #gaza #TwoStateSolution #IsraelPalestineConflict",,https://twitter.com/Sardarbror/status/1720367657415766175,FALSE,1,5,6,804,,0.8K,804
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/karasuwich1/status/1720454436794122633,karasuwichReload,https://twitter.com/karasuwich1,11/3/23,Please share if you think this is in any way useful.#IsraelPalestineConflict  #FreeGazaFromHamas #SabbatShalom #Lebanon,,https://twitter.com/karasuwich1/status/1720454436794122633,FALSE,6,22,36,3.6K,,3.6K,3600
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/ArvindKanjarval/status/1720148640919146923,Pritesh RavalReloadMossad Commentary,https://twitter.com/ArvindKanjarval,11/2/23,25% Hamas destroyed Remaining 75 % more scary and nightmare disaster for Hamas  Terrorism    #Palestine#thursdayvibes#Hamas_is_ISIS #HamasMassacre #GazaWar #IsraelPalestineConflict #PalestineWar #Gaza_Now jenin West Bank Hezbollah…,,https://twitter.com/ArvindKanjarval/status/1720148640919146923,FALSE,21,16,44,17K,,17K,17000
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/salah_alezzi/status/1719078125538070901,صلاح العزيReload,https://twitter.com/salah_alezzi,10/30/23,Occupation forces brutally assault women on Bab al-Silsilah Road in Old Jerusalem.#BeforeOct7#IsraelPalestineConflict#Israelunderattack #Gaza_Genicide #GenocideinGaza #PalestineHolocaust,,https://twitter.com/salah_alezzi/status/1719078125538070901,FALSE,11,35,44,7.9K,,7.9K,7900
TopPost,#IsraelPalestineConflict,https://twitter.com/search?q=#IsraelPalestineConflict&src=typed_query&f=top,https://twitter.com/furqanraja1122/status/1721056681382248482,Raja Furqan AhmedReload,https://twitter.com/furqanraja1122,11/5/23,"A Palestinian boy, shaking in fear, shows his injured hand to another young boy who seems to be his brother#Pakistan #India #Gaza #GazaUnderAttack #TelAviv #Israel #IsraelPalestineConflict #Palestinian #Palestine #GazaCity #Hamas",,https://twitter.com/furqanraja1122/status/1721056681382248482,FALSE,6,26,35,3.8K,,3.8K,3800
