Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/SUDIPTADASBANTI/status/1710957705387819431,SUDIPTA DAS ,https://twitter.com/SUDIPTADASBANTI,Oct 8,We never support terrorists..This is the reality for Israelis right now. #Israel #Gaza #Israel_under_attack #IStandWithIsrael #Istandwithisreal #IsraelPalestineWar #hamasattack #Mossad #IsraelPalestineConflict #StandWithIsrael #Jerusalem,https://pbs.twimg.com/ext_tw_video_thumb/1710957635078684672/pu/img/tMddwIp1p242JrZN.jpg,324,82,32
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/DatTypeOfGurl/status/1711507923984117979,Pia and 2 Others,https://twitter.com/DatTypeOfGurl,Oct 9,This video sums up the entire #IsraelPalestineConflict and the media's role in it  #IsraelPalestineWar #GazaUnderAttack #FreePalastine #Palestine #Israel #StopTerrorismIsrael #,https://pbs.twimg.com/ext_tw_video_thumb/1711507808930213888/pu/img/8SMpmgzuoVw-szuQ.jpg,8,5,2
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/DealsDhamaka/status/1711230883942801640,Vineeth K,https://twitter.com/DealsDhamaka,Oct 9,This is terrifying video of how Palestinian militants used parachutes to land into Israel #IsraelPalestineConflict,https://pbs.twimg.com/amplify_video_thumb/1711230826057170944/img/Bbpd6fJb91rB7Xaf.jpg,719,144,96
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/Colhamer/status/1711094634355577238,Colin Hamer ,https://twitter.com/Colhamer,Oct 8,This is not right a solution is needed that will not be achieved by backing one side #IsraelPalestineConflict,,66,1,3
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/Colhamer/status/1711084970276495600,Colin Hamer ,https://twitter.com/Colhamer,Oct 8,"I love Israel, I spent some weeks in Haifa & loved it & the people, I also know the Israeli government has not been good with the Palestinians in Gaza. It is wrong for politicians to throw their weight behind one side when a 360 degree solution is needed. #IsraelPalestineConflict",,15,2,1
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/KBoz3/status/1711348241126527467,K Boz,https://twitter.com/KBoz3,Oct 9,Today's western headlines!#Israel #Palestine #IsraelPalestineConflict #USA #EU #Britain,https://pbs.twimg.com/media/F7_uJ-bWoAABxiG?format=jpg&name=small,96,28,6
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/AatishiC/status/1711047061154730251,Aatishi Chaudhary,https://twitter.com/AatishiC,Oct 8Oct 8,"George Orwell ""The nationalist not only does not disapprove of atrocities committed by his own side, but he has a remarkable capacity for not even hearing about them."".  #IsraelPalestineConflict#War   #IsraelPalestineWar  #PeaceAndLove #Humanity twitter.com/Saphhire_Fire/…",https://pbs.twimg.com/profile_images/1696433952645644288/sLwFacvu_mini.jpg,4,1,
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/revsodhi/status/1711031329905909886,sands,https://twitter.com/revsodhi,Oct 8,#aeon conflict overholy landdivided by scripturesrituals and beliefsunited by hatewaging crusadescollecting spoilsforsaken victors#vss365#IsraelPalestineConflict,,66,9,2
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/TheUnderLineIN/status/1711358762219384992,The UnderLine,https://twitter.com/TheUnderLineIN,Oct 9,#IsraelPalestineConflict : Islamic world divided over war between Israel and Hamas! There is an atmosphere of serious unrest in the #MiddleEast due to the war breaking out between #Israel and #Palestine. The reaction of Islamic countries has come to light regarding this fight.,https://pbs.twimg.com/media/F7_yX8RWUAAoDO5?format=jpg&name=small,18,13,4
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/PiyadassiBlogs/status/1711273977891721460,Piyadassi,https://twitter.com/PiyadassiBlogs,Oct 9,Know What is Israel-Palestine Conflict and Why war between both became unstoppable for decades.#Israel #Palestine #IsraelPalestineConflict #IsraelPalestineFact #Gaza #GolanHeights #WestBank #Hamas #Fatah #USA #UN #UPSC #UPSC2024 #IndiaStandWithIsrael,,1,3,2
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/journsuresh/status/1710913962215403616,Suresh Kumar,https://twitter.com/journsuresh,Oct 8,Israeli airstrikes against Gaza. #Gaza #Lebanon #Palestine #IsraelAtWar #IsraelUnderAttack #Mossad #IsraelPalestineConflict,https://pbs.twimg.com/ext_tw_video_thumb/1710913916371668992/pu/img/0kiK0Gdm8baw92DQ.jpg,8,4,1
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/XZherron/status/1710969820022255640,XZherron,https://twitter.com/XZherron,Oct 8,"Devastating scenes unfold as Hamas launches a brutal assault in Israel, leaving countless civilians in peril. The aftershocks reverberate across the region, fuelling fears of escalating conflict. Stay informed and pray for peace. #IsraelPalestineConflict",,16,16,3
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/PTI_News/status/1710928909787619611,Press Trust of India,https://twitter.com/PTI_News,Oct 8,"VIDEO | ""In any situation, wars lead to loss of lives. So many innocent people of Israel and Palestine have died. The United Nations has failed as it cannot solve the issue between Israel and Palestine,"" says JKNC leader Farooq Abdullah on #IsraelPalestineConflict.",https://pbs.twimg.com/ext_tw_video_thumb/1710928752706772992/pu/img/kUM0G4E_UBl4jDl2.jpg,80,20,21
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/RealJabariJones/status/1711091741091070384,Jabari Jones,https://twitter.com/RealJabariJones,Oct 8,My statement regarding #Israel_under_attack.  It’s an absolute disgrace in #Philly to see political organizations rallying in support of the murder and kidnapping of civilians and even American citizens happening overseas. #IsraelAtWar #IsraelPalestineConflict,https://pbs.twimg.com/media/F78E3klWgAAnyKb?format=jpg&name=small,77,11,10
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/FalconFeedsio/status/1711109386855461050,FalconFeeds.io,https://twitter.com/FalconFeedsio,Oct 8Oct 8,Israel’s security agency Shabak was attacked by Russian group Killnet. #Threatintel #Cti #Russia #IsraelPalestineConflict #IsraelPalestineWar #CyberattackKillnet claimed to have taken down Government of Israel’s official website http://gov.il NB : The site is down at the moment. #Cyberattack #Israel #Russia,https://pbs.twimg.com/media/F78U48WXcAALLXR?format=jpg&name=small;https://pbs.twimg.com/media/F77U06-XkAA6l65?format=jpg&name=240x240,17,9,1
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/ardent_geroy/status/1710670874184208533,Geroy - герой - जिरॉय,https://twitter.com/ardent_geroy,Oct 7,There can be no justification for violence. #IsraelPalestineconflict,,10,,
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/PikeWala/status/1711336328237822022,Gary Pike,https://twitter.com/PikeWala,Oct 9,IAS Educator  has shared a video explaining the #IsraelPalestineConflict from a Neutral perspective without taking sides. I highly recommend that you watch the full video to understand the history and facts of this International dispute.,,16,6,2
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/PTI_News/status/1711050867573403989,Press Trust of India,https://twitter.com/PTI_News,Oct 8,VIDEO | Renowned sand artist  creates sand sculpture 'praying for peace'. #IsraelPalestineConflict,https://pbs.twimg.com/ext_tw_video_thumb/1711045946069417984/pu/img/tb1Zo9QgXbTCfOFl.jpg,129,16,4
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/SonuMdevi/status/1711052999785853237,सोनू देवी,https://twitter.com/SonuMdevi,Oct 8,Armed Clashes between Palestinians and Jewish Settlers are reportedly occurring in Eastern Jerusalem#Israel #GazaUnderAttack #hamasattack #HamasTerrorists #IsraelUnderAttack #IsraelPalestineWar #Israel_under_attack #Gaza #GazaTerror #IsraelPalestineConflict #Palestina…,https://pbs.twimg.com/ext_tw_video_thumb/1711052962376912896/pu/img/eaYniZTitqUK2jaP.jpg,5,5,1
Top,#IsraelPalestineConflict until:2023-10-10 since:2023-10-07,https://twitter.com/search?q=%23IsraelPalestineConflict%20until%3A2023-10-10%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/firstpost/status/1711004168520175831,Firstpost,https://twitter.com/firstpost,Oct 8,"#FPCreative: #Israel’s counter offensive after #Hamas’ surprise attack has raised fears of a long war in the Middle East. The #IsraelPalestineConflict, though, has gone on for decades. A look at the genesis and history of this century-old conflict.",,23,9,1
