Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/werntango/status/1722019815206871113,WernTangoReload,https://twitter.com/werntango,2023-11-07,"Person detained, then released after elderly #Jewish man dies from injury at dueling rallies. Investigators in Ventura County have questioned a man involved in an altercation with a 69-year-old #proIsrael demonstrator who died after suffering a head injury.",,https://twitter.com/werntango/status/1722019815206871113,False,,25,112,1.1K
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/Abinashisback/status/1721445901611274361,Abinash MohapatraAbinash Mohapatra,https://twitter.com/Abinashisback,2023-11-06,I am #ProPalestine & i am not endorsing  the views of majority of my fellow #atheists (most of them are  #ProIsrael ) yes i am an #atheist at the same time i am a #humanist,,https://twitter.com/Abinashisback/status/1721445901611274361,False,,,,49
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/NirACohen77/status/1720369570815304021/,ניר אבישי כהן - نير أَ. كوهين,https://twitter.com/NirACohen77,,"A 'must read' book about the Israeli-Palestinian Conflict, told by a major in the reserves of the Israel Defense Forces and recent NYT Op-Ed author, ""I’m Going to War for Israel. Palestinians Are Not My Enemy""Get your copy now",https://pbs.twimg.com/media/Ft0ujHQWAAACS95?format=jpg&name=small,https://twitter.com/NirACohen77/status/1720369570815304021/,True,3,55,219,398K
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/DaleMGlading/status/1719687973933817935,Dale Glading,https://twitter.com/DaleMGlading,2023-11-01,"Forget what Sleepy Joe is telling you to do…Keep the pedal to the metal, Bibi!#ProIsrael",,https://twitter.com/DaleMGlading/status/1719687973933817935,False,,,,34
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/WashingtonViews/status/1721805165626269930,Washington Views,https://twitter.com/WashingtonViews,2023-11-07,"A week from today in Washington DC ""March For Israel"" - Sponsored by the @Conf_of_Pres & @JFederations https://marchforisrael.org #Israel #ProIsrael #Hamas #Gaza #Antisemitism #Jews",https://pbs.twimg.com/media/F-UTkLcW8AAl-aj?format=jpg&name=small,https://twitter.com/WashingtonViews/status/1721805165626269930,False,2,11,23,1.5K
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/HaqMD071/status/1721399930269422054,"Haq, MD",https://twitter.com/HaqMD071,2023-11-06,One of my favorite things to do is to post #proIsrael content so that all of the toxic people in my life blindly and purposefully supporting #hamas will unfollow me,,https://twitter.com/HaqMD071/status/1721399930269422054,False,1,1,4,148
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/Patricia_PVAla/status/1720210862114210085,PatriciaEretz Israel,https://twitter.com/Patricia_PVAla,2023-11-02,Hmmm... Makes you think.  #ProIsrael,https://pbs.twimg.com/media/F9827WQXsAAsbvR?format=jpg&name=small,https://twitter.com/Patricia_PVAla/status/1720210862114210085,False,,,3,68
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/bob_osh/status/1721928015695777874,Kunta’s KenteReload,https://twitter.com/bob_osh,2023-11-07,This video is for all you people that still stand with Hamas #Israel #IsraelUnderFire #IStandWithIsreal #ProIsrael #prozionist #FreeIsrael #Israel_under_attack #Gotcha,,https://twitter.com/bob_osh/status/1721928015695777874,False,,,,71
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/MrMrsJohnPublic/status/1722369286063206764,John and Jane Public,https://twitter.com/MrMrsJohnPublic,2023-11-08,Love this! #Jews #ProIsrael #WeStandWithIsrael,https://pbs.twimg.com/media/F-cVvO-XEAA7qZw?format=jpg&name=small,https://twitter.com/MrMrsJohnPublic/status/1722369286063206764,False,,,1,23
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/BurstBites/status/1721230671140581713,Burst Bites,https://twitter.com/BurstBites,2023-11-05,"JUST IN20,000 gather in #Vienna to support #Israel and demand the safe return of the #hostages. Names and pictures of each hostage are displayed on empty chairs at Heldenplatz, symbolizing the urgent plea for their release. #Vienna #ProIsrael #Solidarity #BreakingNews",https://pbs.twimg.com/media/F-MJ1i4WkAA_1pT?format=png&name=small;https://pbs.twimg.com/media/F-MJ2JoWAAAHqOw?format=png&name=360x360;https://pbs.twimg.com/media/F-MJ2V9X0AAHZf9?format=png&name=360x360,https://twitter.com/BurstBites/status/1721230671140581713,False,1,,1,151
