Category,Keyword,Tweet_Website,Author_Name,Author_Web_Page_URL,UTC_Time,Tweet_Content,Tweet_Image_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
Post&amp;Comment,Pro Israel,https://twitter.com/OrbishED/status/1718008059271032900,POTATO GHOST ORBI!!!  :D #2 MILTON FAN,https://twitter.com/OrbishED,2023-10-27T20:53:35.000Z,please unfollow and block me if you're pro israel or neutral because the genocide of the palestinians is something you cannot be silent about,,False,,21,21,285
Post&amp;Comment,Pro Israel,https://twitter.com/369starlet/status/1717998254082957624,siri is on the run. ,https://twitter.com/369starlet,2023-10-27T20:14:37.000Z,I hope all the influential people that posted think posts about being pro israel recognise the blood of a thousand palestinians on their hands.,,False,1,4,10,245
Post&amp;Comment,Pro Israel,https://twitter.com/THE0SLUVR/status/1718029789204807713,ALL IN: neo ☼,https://twitter.com/THE0SLUVR,2023-10-27T22:19:55.000Z,if ur pro israel deadass hard block me,,False,,5,10,194
Post&amp;Comment,Pro Israel,https://twitter.com/inwond3rlandd/status/1718022910533935474,shiva ⸆⸉ 455 ,https://twitter.com/inwond3rlandd,2023-10-27T21:52:35.000Z,"i physically cannot understand how one could be “pro israel”, do you not see everything that’s happening? everything that’s been happening for years and years?",,False,,7,19,406
Post&amp;Comment,Pro Israel,https://twitter.com/landoers/status/1718039388611834237,gabriella ,https://twitter.com/landoers,2023-10-27T22:58:04.000Z,"i’m being so serious , if you are pro israel or even just neutral please block me. how can you sit there and say you’re neutral and you have no opinion when you’re witnessing a mass genocide against innocent people for no reason apart from greed and bloodlust",,False,,7,11,311
Post&amp;Comment,Pro Israel,https://twitter.com/ilikecutepigs/status/1718011573577433334,Mabel,https://twitter.com/ilikecutepigs,2023-10-27T21:07:32.000Z,"This account stands with Palestine. If you are pro Israel, please block me.",,False,,5,11,136
Post&amp;Comment,Pro Israel,https://twitter.com/mothywrites/status/1718033189971677416,himemofya anthy,https://twitter.com/mothywrites,2023-10-27T22:33:26.000Z,"SPEAK UP PLEASE SPEAK UP THE PALESTINIANS ARE COUNTING ON US TO SPEAK FOR THEM! YOUR SILENCE IS NEUTRALITY, YOUR SILENCE IS PRO ISRAEL!",,False,,1,7,181
Post&amp;Comment,Pro Israel,https://twitter.com/rosaaaa86816789/status/1718041928942633071,rosaaaa,https://twitter.com/rosaaaa86816789,2023-10-27T23:08:10.000Z,"I don’t know how word stuff but We need to keep talking about Palestine,spread awareness stuff like that,idc if it’s ‘triggers’ you or you’re uncomfortable with itPeople who are ‘neutral’ are just as bad as people who are pro Israel,you can’t be neutral about people’s lives",,False,,28,27,690
Post&amp;Comment,Pro Israel,https://twitter.com/raviagrawal3/status/1718051557202329794,Izlamic Terrorist,https://twitter.com/raviagrawal3,2023-10-27T23:46:25.000Z,"Breaking Turkey Palestine Israel Pro Palestinian Hamas Protesters destroyed a Jews  coffee shop in Gaziantep, Turkey.",,False,5,47,52,1.7K
Post&amp;Comment,Pro Israel,https://twitter.com/gyoumei4lifer/status/1718029353089437733,Estrella / Lluvia - 10 DAYS TILL B DAY !!*ੈ✩‧₊˚ BEPSIꕥ,https://twitter.com/gyoumei4lifer,2023-10-27T22:18:11.000Z,Same thing here.If you are pro Israel block me completely. What is happening right now is literal genocide and if that “makes you uncomfortable” fuck off and block me this page will be rt stuff to raise awareness.,,False,,8,10,325
