Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/DrEliDavid/status/1721986859557929272,Dr. Eli David,https://twitter.com/DrEliDavid,Nov 7,Pro-Israel  gathering in Berlin See the difference? Our protests are not violent. We don't call for death and destruction. We don't call for jihad. We don't say “from the river to the sea”...Volume up ,https://pbs.twimg.com/ext_tw_video_thumb/1721960449594236928/pu/img/8nzifQ7DhAWf2tO1.jpg,36K,8.6K,3.8K
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/HenMazzig/status/1721153988890968429,Hen Mazzig,https://twitter.com/HenMazzig,Nov 5,"I never imagined that the best pro-Israel speech would come from Iranians.Thank you Lily and the people of Iran, we stand together ",https://pbs.twimg.com/amplify_video_thumb/1721149599086264320/img/vQLMro2EBV413b3P.jpg,37K,12K,2.3K
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/PunishedBenn/status/1721283409342029857,ben,https://twitter.com/PunishedBenn,Nov 5,“The MCU can’t get any worse than it is now”*the pro Israel conflict Captain America film next year*,https://pbs.twimg.com/ext_tw_video_thumb/1721283391340077057/pu/img/hvBEdCbp0XEBgsrC.jpg,78K,6.3K,176
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/StopAntisemites/status/1721520952360513778,StopAntisemitism,https://twitter.com/StopAntisemites,Nov 6,"Beverly Hills, CA - car driving by a pro Israel rally yesterday stopped to shout “Heil Hitler” then proceeded to throw up a Nazi salute (caught on camera). Recognize them? DM us.",,20K,10K,1.7K
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/StopAntisemites/status/1721688730048582107,StopAntisemitism,https://twitter.com/StopAntisemites,Nov 7,"Content warning  - an elderly Jewish man has been killed by a pro Palestinian protestor who hit him over the head with a megaphone at yesterday’s Israel rally.Sadly, the victim has passed away from internal bleeding.May his memory be a blessing and his attacker be…",https://pbs.twimg.com/amplify_video_thumb/1721688679087788032/img/_zgE7gbbMtAxJ7DF.jpg,38K,16K,3.7K
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/ShaykhSulaiman/status/1720153491803369506,Sulaiman Ahmed,https://twitter.com/ShaykhSulaiman,Nov 2,MAN JOINS A PRO-ISRAEL RALLY AT MCGILL AND CHANTS:“KILL MORE PALESTINIAN CHILDREN”,https://pbs.twimg.com/amplify_video_thumb/1720153356381908992/img/FSqUZK27baP_vfLR.jpg,11K,4.9K,1K
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/SpiritofHo/status/1720895670637228167,Danny Haiphong,https://twitter.com/SpiritofHo,Nov 4,There isn’t a pro-Israel demonstration a fraction of this size. The PEOPLE are for Palestine ,,29K,10K,730
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/iamjourjean/status/1720520084328751318,Anita Zsurzsan ,https://twitter.com/iamjourjean,Nov 3Nov 3,"NYC and London are the most diverse cities in the West yet all the ""pro-Israel"" demos are 100% white. Zionism is a white supremacist project.NYC stands with #Israel. ",https://pbs.twimg.com/media/F981VXIXsAANpjU?format=jpg&name=small;https://pbs.twimg.com/media/F981V6ZW8AAyspN?format=jpg&name=small,78K,22K,390
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/DrEliDavid/status/1721483665220227437,Dr. Eli David,https://twitter.com/DrEliDavid,Nov 6,Pro-Israel  march in Berlin  yesterday.See the difference? Our protests are not violent. We don't call for death and destruction. We don't call for jihad. We don't say “from the river to the sea”...,,43K,9.2K,2.1K
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/GlobeEyeNews/status/1721113670149898263,Globe Eye News,https://twitter.com/GlobeEyeNews,Nov 5," 𝗪𝗔𝗧𝗖𝗛: World's Largest Pro- Palestinian Protest, More than 2 million people gathered in Indonesia.#Indonesia l #Palestine l #Gaza l #Hamas #GazaGenocide l #CeasefireNOW l #Israel",https://pbs.twimg.com/ext_tw_video_thumb/1721113600897732608/pu/img/iay1ZTUhNfh26qsh.jpg,7.1K,3.7K,227
