Category,Keyword,Tweet_Website,Author_Name,Author_Web_Page_URL,UTC_Time,Tweet_Content,Tweet_Image_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
Post&amp;Comment,Pro Palestine,https://twitter.com/ANMCairene/status/1721259916873134333,CaireneReload,https://twitter.com/ANMCairene,,Zionist who are not Jew are accusing Pro-Palestine Jew that they are not Jew #GazaGenocide #ZionismIsTerrorism #ZionismIsNazism,,False,50,237,427,8.9K
Post&amp;Comment,Pro Palestine,https://twitter.com/Robert_Martin72/status/1721079649567175025,Robert Martin Reload,https://twitter.com/Robert_Martin72,2023-11-05T08:18:59.000Z,From the river to the sea Palestine will be free. To be pro Palestine is to be anti racist.,,False,34,501,1K,22K
Post&amp;Comment,Pro Palestine,https://twitter.com/jacksonhinklle/status/1720978430152356159,Jackson Hinkle ReloadS p r i n t e r X,https://twitter.com/jacksonhinklle,2023-11-05T01:36:46.000Z,Pro-Palestine rally on the border of Iraq right now!,,False,367,4.4K,15K,363K
Post&amp;Comment,Pro Palestine,https://twitter.com/andychester_/status/1721901312785502371,andyReload,https://twitter.com/andychester_,2023-11-07T14:43:59.000Z,Miss Ma’am thinks the pro Palestine rally in Melbourne is the right place for this. People have lost loved ones and you’re waving the flag of their executioners. Make it make sense! #FreePalestine,,False,11,168,203,12K
Post&amp;Comment,Pro Palestine,https://twitter.com/ANMCairene/status/1721262306049352063,CaireneReload,https://twitter.com/ANMCairene,2023-11-05T20:24:47.000Z,Holocaust survivors are pro-Palestine and against genocide that is committed by Zionist Israeli regime “The British government is supporting the genocide…” he says #GazaGenocide #ZionismIsNazism,,False,47,788,1.2K,38K
Post&amp;Comment,Pro Palestine,https://twitter.com/jacksonhinklle/status/1720948916848316748,Jackson Hinkle ReloadRadioGenoa,https://twitter.com/jacksonhinklle,2023-11-04T23:39:30.000Z,MASSIVE PRO-PALESTINE protest in Berlin tonight!,,False,796,13K,42K,823K
Post&amp;Comment,Pro Palestine,https://twitter.com/ashoswai/status/1721832721792602270,Ashok SwainReloadPalestina Hoy,https://twitter.com/ashoswai,2023-11-07T10:11:25.000Z,Massive Pro-Palestine Demonstration in Mexico City.#CeasefireForGazaNOW,,False,140,4.6K,9.4K,200K
Post&amp;Comment,Pro Palestine,https://twitter.com/therealmrbench/status/1722005594461401095,sonofabenchReload🅳🅽🅽🅸🅴 Memes,https://twitter.com/therealmrbench,2023-11-07T21:38:21.000Z,"VIEWER DISCRETION ADVISEDIt has been 1 month since the #HamasTerrorist #October7massacrePro-Palestine politicians are condemning Israel as the IDF said they will hunt down those responsible and treat them like animals.This is, but one video of why…",,False,23,105,148,12K
Post&amp;Comment,Pro Palestine,https://twitter.com/CensoredMen/status/1720674946714624400,Censored MenReload,https://twitter.com/CensoredMen,2023-11-04T05:30:50.000Z,Former IDF soldier tears up when asked why he’s at a Pro-Palestine rally.“I just saw a Mafia run country.”,,False,1K,37K,77K,2.4M
Post&amp;Comment,Pro Palestine,https://twitter.com/atRachelGilmore/status/1719851657289154774,Rachel GilmoreReload,https://twitter.com/atRachelGilmore,2023-11-01T22:59:23.000Z,"This is a really difficult but important conversation.Building on @misstessowen’s reporting, I found more far-right accounts trying to use pro-Palestine movements to fuel anti-Jewish hate.This hurts Palestinians and Jewish folks alike. Be careful who you retweet.",,False,4,1.4K,2.2K,984K
Post&amp;Comment,Pro Palestine,https://twitter.com/humzasayshi/status/1721261641294041410,humza Nihal | نهال,https://twitter.com/humzasayshi,2023-11-05T20:22:09.000Z,"In fact, Said was Obama’s English professor at Columbia University. Obama attended many pro-Palestine events when he was younger, and he worked closely with many Palestinian organizers. He was supportive or at the least even-handed. That he capitulated to state interests… shame.",https://pbs.twimg.com/media/F-MmVtsWoAAPDpQ?format=jpg&name=small,False,165,11K,45K,4.1M
Post&amp;Comment,Pro Palestine,https://twitter.com/letthebliss/status/1720567921666408813,a fallen fruit Mαrωα ,https://twitter.com/letthebliss,2023-11-03T22:25:33.000Z,"After Lorde’s pro-Palestine  stance in 2017,  Zionists bought a FULL-PAGE ad in the Washington Post, just to call her a bigot. They’re that petty. They want full celebrity compliance or they attack. That’s propaganda folks",https://pbs.twimg.com/media/F-CvZW1akAA8wSF?format=jpg&name=small,False,11,392,1K,124K
Post&amp;Comment,Pro Palestine,https://twitter.com/jennineak/status/1721808254521544723,JennineStandWithUs,https://twitter.com/jennineak,2023-11-07T08:34:12.000Z,"This Zionist lobby group wants you to believe that pro-Palestine protesters killed him. He attacked protesters, and the sheriff’s office has said: “During the altercation, Kessler fell backwards and struck his head on the ground.”",,False,141,20K,63K,2.8M
Post&amp;Comment,Pro Palestine,https://twitter.com/libsoftiktok/status/1720999387772719412,Libs of TikTokReloadCollin Rugg,https://twitter.com/libsoftiktok,2023-11-05T03:00:03.000Z,Pro-palestine rioters desecrated and vandalized historic monuments in D.C. today. Absolutely disgraceful.,,False,4.9K,9.6K,28K,3.9M
Post&amp;Comment,Pro Palestine,https://twitter.com/MyLordBebo/status/1720918996495606097,Lord BeboReload,https://twitter.com/MyLordBebo,2023-11-04T21:40:36.000Z,Huge pro-Palestine march in Berlin!Too many for the police to break up!,,False,479,10K,27K,1.4M
Post&amp;Comment,Pro Palestine,https://twitter.com/LeftismForU/status/1721685911534977382,LeftismReload,https://twitter.com/LeftismForU,2023-11-07T00:28:03.000Z,BREAKING: A pro-Palestine protester has been arrested after killing a 65 year old Jewish man by hitting him over the head with a megaphone during a verbal altercation in the Thousand Oaks area of LA.The man suffered from a brain hemorrhage as a result & succumbed to his…,,False,1.4K,4K,9.2K,4M
Post&amp;Comment,Pro Palestine,https://twitter.com/nihalist___/status/1721217631963754831,Nihal | نهال,https://twitter.com/nihalist___,2023-11-05T17:27:16.000Z,anyone who knew Obama early in his career can tell you that not only was he pro-Palestine but that he knew in extraordinary detail the bloody history of the creation of the ethno-state and its ensuing crimes. he knew exactly what he was doing in office and he did it in cold blood,,False,263,12K,80K,6M
Post&amp;Comment,Pro Palestine,https://twitter.com/ashoswai/status/1720946861874237805,Ashok SwainReloadDan Cohen,https://twitter.com/ashoswai,2023-11-04T23:31:20.000Z,Names of the people killed in Israeli airstrikes in Gaza. Washington DC had never witnessed such a pro-Palestine demonstration ever before.,,False,122,4.5K,6.8K,270K
Post&amp;Comment,Pro Palestine,https://twitter.com/yegwave/status/1720953399938597161,YEGWAVEReloadReloadReloadReload,https://twitter.com/yegwave,2023-11-04T23:57:18.000Z,"Scenes from a Pro-Palestine protest in Edmonton that had over 10,000 people",,False,58,43,149,35K
Post&amp;Comment,Pro Palestine,https://twitter.com/Shahwaiz1572009/status/1720825960834998631,Shahwaiz ArainReloadCensored Men,https://twitter.com/Shahwaiz1572009,2023-11-04T15:30:55.000Z,Former IDF soldier tears up when asked why he’s at a Pro-Palestine rally.“I just saw a Mafia run country.”#Hezbollah,,False,5,73,139,10K
Post&amp;Comment,Pro Palestine,https://twitter.com/GlobeEyeNews/status/1721113670149898263,Globe Eye NewsReload,https://twitter.com/GlobeEyeNews,2023-11-05T10:34:10.000Z,"𝗪𝗔𝗧𝗖𝗛: World's Largest Pro- Palestinian Protest, More than 2 million people gathered in Indonesia.#Indonesia l #Palestine l #Gaza l #Hamas #GazaGenocide l #CeasefireNOW l #Israel",,False,228,3.7K,7.1K,507K
Post&amp;Comment,Pro Palestine,https://twitter.com/Delhiite_/status/1720871779064000891,زماںReload,https://twitter.com/Delhiite_,2023-11-04T18:32:59.000Z,Pro-Palestine Rally in Switzerland,,False,51,2.1K,5.8K,66K
Post&amp;Comment,Pro Palestine,https://twitter.com/rivkahbrown/status/1722010916621832320,Rivkah BrownReload,https://twitter.com/rivkahbrown,2023-11-07T21:59:30.000Z,"BREAKING: A former senior @amnesty official has been arrested under the public order act for holding a satirical placard describing Israel as an ""apartheid c*ntry"".Aisha Jung was arrested on Saturday while attending a pro-Palestine demo in London with her husband and sons.",,False,581,4K,6.6K,591K
Post&amp;Comment,Pro Palestine,https://twitter.com/bennyjohnson/status/1720899408806461872,Benny JohnsonReloadZagonel,https://twitter.com/bennyjohnson,2023-11-04T20:22:46.000Z,Pro-Palestine protest in Washington DC,,False,2.5K,1.8K,3.9K,849K
Post&amp;Comment,Pro Palestine,https://twitter.com/savannacraig/status/1721582184530620536,SavannaReload,https://twitter.com/savannacraig,2023-11-06T17:35:52.000Z,Why did pro-Palestine activists block and paint the entrances of CBC Montreal yesterday?#palestine #israel #montreal #gaza #cbcnews #manufacturingconsent #fyp #mtlnews,,False,7,7,7,694
Post&amp;Comment,Pro Palestine,https://twitter.com/SaeedDiCaprio/status/1721617370186199437,Hurt CoPain,https://twitter.com/SaeedDiCaprio,2023-11-06T19:55:41.000Z,stanford released a statement saying that a pro-israel student wrote this to draw negative attention towards pro-palestine protests and yet this page tweeted it and put palestinian students in danger https://twitter.com/visegrad24/status/1720210993597325339…,,False,179,16K,78K,3.1M
