Category,Keyword,Tweet_Website,Author_Name,Author_Web_Page_URL,UTC_Time,Tweet_Content,Tweet_Image_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
Post&amp;Comment,Pro Israel,https://twitter.com/ShaykhSulaiman/status/1718729408968577378,Sulaiman AhmedReload,https://twitter.com/ShaykhSulaiman,2023-10-29T20:39:58.000Z,"EVIDENCE ISRAEL IS PAYING INFLUENCERS HAS BEEN REMOVED DUE TO COMMUNITY GUIDELINES VIOLATION - EXPOSEDIn a previous video, this influencer revealed that he was offered $5,000 to post Pro-Israel content. However, his post was subsequently removed. In his latest video, he…",,False,213,3.3K,4.8K,166K
Post&amp;Comment,Pro Israel,https://twitter.com/bethanyshondark/status/1718739103141785930,Bethany S. MandelReload,https://twitter.com/bethanyshondark,2023-10-29T21:18:29.000Z,"Last week I went to a pro-Israel protest. It featured singing, prayer and an empty Shabbat table. Today in Chicago this is what the pro-Hamas protest looks like.  Any questions?",https://pbs.twimg.com/media/F9owDBPXsAAyZzv?format=jpg&name=360x360,False,695,2.3K,8K,439K
Post&amp;Comment,Pro Israel,https://twitter.com/brokenDoor09/status/1718747966243250629,MR. BROKEN DOOR,https://twitter.com/brokenDoor09,2023-10-29T21:53:42.000Z,Insanely massive pro Palestine protests in France Right now.#Gaza #palestine #israel #dagestan #russia #iran #delaware #laurel #hamas #hezbollah #europe,https://pbs.twimg.com/ext_tw_video_thumb/1718747910157082625/pu/img/zaPuXN9FvR73J_lQ?format=jpg&name=900x900,False,8,20,40,10K
Post&amp;Comment,Pro Israel,https://twitter.com/QudsNen/status/1718766087389466881,Quds News NetworkReload,https://twitter.com/QudsNen,2023-10-29T23:05:43.000Z,"""Europe will pay dearly for such hypocrisy. European leaders are not up to the severity of what is happening. Today and always, we will defend the Palestinian people against the genocidal State of #Israel.""Spanish politician Ione Belarra during a pro-#Palestine protest.",,False,36,772,1.5K,49K
Post&amp;Comment,Pro Israel,https://twitter.com/beautiyah/status/1718778663410467211,Tiyah,https://twitter.com/beautiyah,2023-10-29T23:55:41.000Z,Brand Skincare/Makeup yang pro Israel:- Rose All Day- Esqa- Tulus SkinAda lagi?,,False,7,84,592,37K
Post&amp;Comment,Pro Israel,https://twitter.com/aliqasim/status/1718757090351522247,Ali QasimReloadReload,https://twitter.com/aliqasim,2023-10-29T22:29:57.000Z,Flight from Israel to Dagestan was forced to divert from its destination in the capital of Makhachkala earlier today after Pro-Palestine  protesters stormed the airport to confront the Israeli arrivals.In a second video pro Palestine  supporters on the tarmac of an airport…,,False,32,115,250,74K
Post&amp;Comment,Pro Israel,https://twitter.com/weiwuxianslove/status/1718756795781353618,MariJouwa Warner ⵣ ,https://twitter.com/weiwuxianslove,2023-10-29T22:28:47.000Z,"It’s the fact that she made so much fucking money from stolen gay Asian story tropes, and then was blatantly xenophobic and now also pro -Israel if I had any of her stuff, I would literally just throw it out.",https://pbs.twimg.com/media/F9iyfL9XQAAExEi?format=jpg&name=small,False,2,34,190,10K
Post&amp;Comment,Pro Israel,https://twitter.com/BKWelles/status/1718735022994186261,Serge Gainsbourg,https://twitter.com/BKWelles,2023-10-29T21:02:16.000Z,Charlotte Gainsbourg being pro Israel.,https://pbs.twimg.com/media/F9osZOuWkAAxVUF?format=jpg&name=small,False,1,2,110,5.4K
Post&amp;Comment,Pro Israel,https://twitter.com/PunicWarz/status/1718776864242552988,Carthage Reload,https://twitter.com/PunicWarz,2023-10-29T23:48:32.000Z,"During a Pro Palestine Protest in Italy a brave dude tore up the flag or rather the satanic white and blue rag representing the terrorist ""state of israel"". Bravo! That Genocidal flag should be banned #Gaza_Genicide #FreePalestine #IsraelisISIS",,False,33,92,279,24K
Post&amp;Comment,Pro Israel,https://twitter.com/bellylint4/status/1718752084131238363,bellylint,https://twitter.com/bellylint4,2023-10-29T22:10:04.000Z,yall do know selena gomezliked pro israel posts right,,False,1,2,11,1.4K
Post&amp;Comment,Pro Israel,https://twitter.com/Alec_Zeck/status/1718753636602307024,Daniel “Alec” ZeckReload,https://twitter.com/Alec_Zeck,2023-10-29T22:16:14.000Z,I’ve condemned Hamas over and over again.Will my pro-Israel and Jewish friends condemn this?,,False,8,11,34,5.4K
Post&amp;Comment,Pro Israel,https://twitter.com/ratv1ntage/status/1718774147637981593,daphne ,https://twitter.com/ratv1ntage,2023-10-29T23:37:44.000Z,I’ve been noticing ALOT of pro Israel people using AI to make people side with them which is just terrifying,,False,3,17,307,21K
Post&amp;Comment,Pro Israel,https://twitter.com/felixclavicle/status/1718757376424022151,𓅓𓂝𓂋𓇌𓏏 樂☆⁵(∞⁸)BLACK FOREST !! MARYANA ,https://twitter.com/felixclavicle,2023-10-29T22:31:06.000Z,So u think that pro Israel ppl care abt lgbt ? Well no they Don't!!!,,False,2,1,2,446
Post&amp;Comment,Pro Israel,https://twitter.com/JonniIinferno/status/1718757675977126018,jonni inferno,https://twitter.com/JonniIinferno,2023-10-29T22:32:17.000Z,"Then why do they not go to a pro Israel Rally and Pray for Peace with the Israeli's ? Oh, that's right...",,False,,2,35,182
Post&amp;Comment,Pro Israel,https://twitter.com/Jordankara/status/1718742971078582691,ירדן קרה ,https://twitter.com/Jordankara,2023-10-29T21:33:51.000Z,Highlight of the weekend is @DanOrgel telling the pro pallywood stewards to f*** off when trying to confiscate his israel flag  #Coys,,False,7,6,69,8K
Post&amp;Comment,Pro Israel,https://twitter.com/lachancenaomi27/status/1718778042074509673,naomi,https://twitter.com/lachancenaomi27,2023-10-29T23:53:13.000Z,No it isn’t? They’re a pro-Israel lobbying group,https://pbs.twimg.com/media/F9pThPHW0AAfusH?format=jpg&name=small,False,,3,29,1K
Post&amp;Comment,Pro Israel,https://twitter.com/gcdkiller/status/1718746272490836479,ash,https://twitter.com/gcdkiller,2023-10-29T21:46:58.000Z,"pro israel gays using ""palestine doesn't support gay people"" is so wild to me...like babe i'm about to tell u something about the united states that's gonna blow ur mind",,False,2,2,28,519
Post&amp;Comment,Pro Israel,https://twitter.com/Ash_with_earth/status/1718749270335975768,Ash.with.Earth,https://twitter.com/Ash_with_earth,2023-10-29T21:58:53.000Z,The risk of dehumanizing an entire population: The World might dehumanize you in return. Shit boomerangs. Pro-Israel fanatics with no ties whatsoever to Israel knew this. That’s why they encourage it. They view both sides as animals. Same type of people who enjoy cockfighting.,,False,1,7,30,596
Post&amp;Comment,Pro Israel,https://twitter.com/dobettercanada/status/1718767355327664502,The Doc ,https://twitter.com/dobettercanada,2023-10-29T23:10:45.000Z,"""Today and always, we will defend the Palestinian people against the genocidal State of #Israel.""Spanish politician Ione Belarra during a pro-#Palestine protest.#GazaGenocide #Gaza_under_attack #Gaza_Genicide #FreeGaza #FreePalestine",,False,1,10,26,5.4K
Post&amp;Comment,Pro Israel,https://twitter.com/sourkettle/status/1718765099601502321,ket ,https://twitter.com/sourkettle,2023-10-29T23:01:47.000Z,we still don’t know anything tho liking pro israel posts and then this… idk what to think,,False,3,,4,89
Post&amp;Comment,Pro Israel,https://twitter.com/faully33/status/1718767079372022116,Disgusted Australian PeterMal Peters,https://twitter.com/faully33,2023-10-29T23:09:39.000Z,"Yes, the Albanese Labor Govt is controlled by factions.Pro Israel controlled Factions & the Mining Lobby have control now so rational placement may undermine their influence.",,False,,2,,77
Post&amp;Comment,Pro Israel,https://twitter.com/miumiuitgirl/status/1718768222902628718,ella ,https://twitter.com/miumiuitgirl,2023-10-29T23:14:12.000Z,"the craziest thing about pro israel propaganda is making this genocide about religion, is insane to me that critiquing the massacre of thousands of innocent palestinians will make you an anti-semite and that some support israel simply because of their hatred to the islamic faith",,False,2,6,47,2.5K
Post&amp;Comment,Pro Israel,https://twitter.com/crazyskank/status/1718749298823692333,(-｡-),https://twitter.com/crazyskank,2023-10-29T21:59:00.000Z,i’m so glad i haven’t met anyone pro israel i feel like i’d snap and assault them,,False,,,13,209
Post&amp;Comment,Pro Israel,https://twitter.com/LovesToGarden63/status/1718771061884596647,Girl Next Door,https://twitter.com/LovesToGarden63,2023-10-29T23:25:29.000Z,They are pro Israel and people are boycotting.,,False,,,4,311
