Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#IsraelPalestineWar,https://twitter.com/search?q=#IsraelPalestineWar&src=typed_query&f=top,https://twitter.com/KhaksaarRahim/status/1721955649255329809,Khaksaar Rahim MehsudReload,https://twitter.com/KhaksaarRahim,2023-11-07,Boycott Israel Products#IsraelisaGenocidalState #IsraelPalestineWar #Hamas_is_ISIS #Hammas #Palestine #Gaza #MuslimUmmah,,https://twitter.com/KhaksaarRahim/status/1721955649255329809,False,98,549,963,71K
TopPost,#IsraelPalestineWar,https://twitter.com/search?q=#IsraelPalestineWar&src=typed_query&f=top,https://twitter.com/roi_zaga/status/1721292121850908889,Roi ZagaReload,https://twitter.com/roi_zaga,2023-11-05,Free Palestine? From who? #Gaza #Hamas #Israel #StandWithIsrael #HamasISIS #HamasTerrorists #BringThemBackHome #BringThemHomeNow #FreeGazaFromHamas #FreePalestineFromHamas #HamasNazi #IStandWithIsrael #IsraelPalestineWar #IsraelHamasConflict #HamasMassacre #FreeTheHostages,,https://twitter.com/roi_zaga/status/1721292121850908889,False,125,386,932,87K
TopPost,#IsraelPalestineWar,https://twitter.com/search?q=#IsraelPalestineWar&src=typed_query&f=top,https://twitter.com/IDFsoldiergirl/status/1721937320599826869,"Ora Levitt  חיילת צה""ל  עם ישראל חיReload",https://twitter.com/IDFsoldiergirl,2023-11-07,The #IDF will not back down. #NoCeasefire #October7massacre #HamasisISIS #IsraelPalestineWar #Israel #Palestine,,https://twitter.com/IDFsoldiergirl/status/1721937320599826869,False,83,241,446,33K
TopPost,#IsraelPalestineWar,https://twitter.com/search?q=#IsraelPalestineWar&src=typed_query&f=top,https://twitter.com/T_R_W_G/status/1719370939073474855,The Right Wing GuyReload,https://twitter.com/T_R_W_G,2023-10-31,Hamas supporters destroyed in less than a minute #Israel #IsraelPalestineWar #IStandWithIsrael#HamasTerrorrists #HamasislSIS #Hamas #FreePalestine #CBNBreaksCourtOrders #PalestineGenocide #CBNSatyamevaJayate #MeriMaatiMeraDesh #जाणताराजा_dpsm#PAKvsBAN #HappyHalloween…,,https://twitter.com/T_R_W_G/status/1719370939073474855,False,115,121,389,56K
TopPost,#IsraelPalestineWar,https://twitter.com/search?q=#IsraelPalestineWar&src=typed_query&f=top,https://twitter.com/ThepakiTweets/status/1721972593287381141,Pakistani TweetsReload,https://twitter.com/ThepakiTweets,2023-11-07,This is Perfect Video Example of #IsraelPalestineWar#ابو_عبيدة #Genocide_in_Gaza #CeasefireForGazaNOW #FreePalestineNow #GazaUnderAttack #حماس #IsraeliNewNazism #IsraelPalestineWar #طوفان_الاقص #IsraelisaGenocidalState #Hezbollah #فلسطين_تنتصر #NamakHaramTaliban #PAKvsENG,,https://twitter.com/ThepakiTweets/status/1721972593287381141,False,15,89,184,30K
TopPost,#IsraelPalestineWar,https://twitter.com/search?q=#IsraelPalestineWar&src=typed_query&f=top,https://twitter.com/Sanatana_Voice/status/1721943140196835579,Sanatan Voice ReloadReloadZay ,https://twitter.com/Sanatana_Voice,2023-11-07,Civilian footage of IDF Special forces successful elimination of Hamas and Islamic Jihad Commanders in Gaza today. #Gaza #Palestine #IDF #Israel  #HamasTerrorrists #Gaza_Geniocide #GazaCeasefire #IsraelPalestineWar,,https://twitter.com/Sanatana_Voice/status/1721943140196835579,False,14,20,90,21K
TopPost,#IsraelPalestineWar,https://twitter.com/search?q=#IsraelPalestineWar&src=typed_query&f=top,https://twitter.com/freedom4alltime/status/1720214201787121790,Erin GReload,https://twitter.com/freedom4alltime,2023-11-02,The West Is Next!#TheWestIsNext #Algeria #Egypt #Iraq #Iran #Syrian #Sharia #ShariaLaw #WakeUpAmerica #WakeUpEverybody #FreedomOfSpeech #IStandWithIsreal #istandwithisrael #IsraelPalestineWar #PalestineIsraelwar #IsLondonInCrisis #Islamophobia #IslamIsTheProblem #FREEDOM,,https://twitter.com/freedom4alltime/status/1720214201787121790,False,22,55,85,13K
TopPost,#IsraelPalestineWar,https://twitter.com/search?q=#IsraelPalestineWar&src=typed_query&f=top,https://twitter.com/IMesopotamia0/status/1719510130604310735,LąwrenceReload,https://twitter.com/IMesopotamia0,2023-11-01,Show this to your friends who claim Israel is not an apartheid state. #gaza #Palestine #IsraelPalestineWar #Israel,,https://twitter.com/IMesopotamia0/status/1719510130604310735,False,14,73,132,22K
TopPost,#IsraelPalestineWar,https://twitter.com/search?q=#IsraelPalestineWar&src=typed_query&f=top,https://twitter.com/Alissa4TheUSA/status/1721305348009603156,ᗩℓιѕѕα♡Reload,https://twitter.com/Alissa4TheUSA,2023-11-05,These people are insane. #Hate #Islam #ısraelpalestinewar #Liberals #DemocratsAreNazis #DemocratssupportTerrorism #Evil,,https://twitter.com/Alissa4TheUSA/status/1721305348009603156,False,124,344,583,59K
TopPost,#IsraelPalestineWar,https://twitter.com/search?q=#IsraelPalestineWar&src=typed_query&f=top,https://twitter.com/lostPassen8/status/1722211634603794827,lost_PassengerReloadبانو وِرتا,https://twitter.com/lostPassen8,2023-11-08,This is how the terrorist organization #Hamas deceives the world. The brutal organization thus creates an oppressed image. #israel #HamasisISIS #IsraelPalestineWar #MrFAFO #NoJewsNoNews,,https://twitter.com/lostPassen8/status/1722211634603794827,False,10,20,32,1.7K
