Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/RyanAFournier/status/1711406329489674733,Ryan Fournier,https://twitter.com/RyanAFournier,Oct 9,"This is Hamas. These are the people that these ""Pro-Palestinian"" groups are supporting.Watch as they kidnap one individual, and execute the other as he lay helpless.If you support this, YOU support terrorism.RT if you STAND with Israel! #ProIsrael",https://pbs.twimg.com/ext_tw_video_thumb/1711405970796990464/pu/img/SFkqXUMBJjHrrYKu.jpg,802,640,102
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/RyanAFournier/status/1711175824156557550,Ryan Fournier,https://twitter.com/RyanAFournier,Oct 9,"Palestinian and Israeli protesters are currently clashing near Seattle, WA.It’s beyond me how you could watch the footage coming out of Israel and be like, “yea I support the terrorists.”  #ProIsrael",https://pbs.twimg.com/amplify_video_thumb/1711175703666794496/img/urblwKFujoTASfEX.jpg,746,311,129
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/PuckNews/status/1717572796711043076/analytics,Puck,https://twitter.com/PuckNews,,"A conversation with , the chief U.S. negotiator in the 2000 peace talks, about why they fell apart, how Israelis came to believe that the Palestinian problem could be managed, and how Oct. 7 exploded that fiction.New, from .",https://pbs.twimg.com/media/F9YKQK3WgAA9Wau?format=jpg&name=small,286,129,22
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/TomBurchett/status/1711187582498009369, TomBurchett ,https://twitter.com/TomBurchett,Oct 9,Thanks 4 the seat Biker Girl Followed all & RT'd#IFBAP#TRUMP2024#FJB----------#ProIsrael#DestroyHammas,https://pbs.twimg.com/media/F79b_KfaAAAkgDO?format=jpg&name=small,33,11,
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/RyanAFournier/status/1711418873608577024,Ryan Fournier,https://twitter.com/RyanAFournier,Oct 9,"Israel is a beacon of hope and a deterrent to stop radical Islamic terrorism from coming to the West.I 100% stand with Israel, its people and its sovereignty.Hamas must be destroyed once and for all. #ProIsrael #StandWithIsrael",,291,61,34
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/Americaonward88/status/1710783265710186695,Countryfirst,https://twitter.com/Americaonward88,Oct 7Oct 7,"Wish we still had some of that Zelensky money we could send them....#ProIsraelA long line of Israeli tanks is heading to Gaza to make it a crater. The ground invasion of Gaza is starting. It's time to stand up to this destruction and pure terror. Where is the US support, Joe?",https://pbs.twimg.com/ext_tw_video_thumb/1710747702332420096/pu/img/mA1_qaqmaFnxtnI7.jpg,1,,
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/bagels4ever/status/1711108616214769784,everythingbagel ,https://twitter.com/bagels4ever,Oct 8,I think it’s hilarious that people are mad that Jewish celebrities are saying #proisrael. would I think Bella Hadid would say pro Israel… of course not. People are so stupid.,,3,,1
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/DenisonForum/status/1721865079250137490/analytics,Denison Forum: News Discerned Differently,https://twitter.com/DenisonForum,,Antisemitic incidents in the US rose about 400 percent in the two weeks after Hamas’s atrocities. Nowhere has opposition to #Israel been more evident than on America’s college campuses. Why is this happening?,https://pbs.twimg.com/media/F-VKEEZWUAA3-Be?format=jpg&name=small,58,15,38
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/Liana_tseitin/status/1712411320551616731,Liana,https://twitter.com/Liana_tseitin,Oct 12,Can’t find the original but this kills me frfr#istandwithisrael#israel #proisrael#HamasISIS,https://pbs.twimg.com/ext_tw_video_thumb/1712411280722550784/pu/img/8gcCcJ2NRe3S4vwS.jpg,19,2,
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/japesch/status/1711427618078089250,Julie Pesch,https://twitter.com/japesch,Oct 9,I so preferred the Taylor Swift Travis Kelce story a week ago to the sadness and fear of today's news.  #ProIsrael,,3,,
